Time,Open,High,Low,Close,Change,Volume
05/29/19,2790.25,2792.03,2766.06,2783.02,-19.37,0
05/28/19,2830.03,2840.51,2801.88,2802.39,-23.67,0
05/24/19,2832.41,2841.36,2820.19,2826.06,3.8200000000002,0
05/23/19,2836.7,2836.7,2805.49,2822.24,-34.03,0
05/22/19,2856.06,2865.47,2851.11,2856.27,-8.0900000000001,0
05/21/19,2854.02,2868.88,2854.02,2864.36,24.13,0
05/20/19,2841.94,2853.86,2831.29,2840.23,-19.3,0
05/17/19,2858.6,2885.48,2854.23,2859.53,-16.79,0
05/16/19,2855.8,2892.15,2855.8,2876.32,25.36,0
05/15/19,2820.38,2858.68,2815.08,2850.96,16.55,0
05/14/19,2820.12,2852.54,2820.12,2834.41,22.54,0
05/13/19,2840.19,2840.19,2801.43,2811.87,-69.53,0
05/10/19,2863.1,2891.31,2825.39,2881.4,10.68,0
05/09/19,2859.84,2875.97,2836.4,2870.72,-8.7000000000003,0
05/08/19,2879.61,2897.96,2873.28,2879.42,-4.6300000000001,0
05/07/19,2913.03,2913.03,2862.6,2884.05,-48.42,0
05/06/19,2908.89,2937.32,2898.21,2932.47,-13.17,0
05/03/19,2929.21,2947.85,2929.21,2945.64,28.12,0
05/02/19,2922.16,2931.68,2900.5,2917.52,-6.21,0
05/01/19,2952.33,2954.13,2923.36,2923.73,-22.1,0
04/30/19,2937.14,2948.22,2924.11,2945.83,2.7999999999997,0
04/29/19,2940.58,2949.52,2939.35,2943.03,3.1500000000001,0
04/26/19,2925.81,2939.88,2917.56,2939.88,13.71,0
04/25/19,2928.99,2933.1,2912.84,2926.17,-1.0799999999999,0
04/24/19,2934,2936.83,2926.05,2927.25,-6.4299999999998,0
04/23/19,2909.99,2936.31,2908.53,2933.68,25.71,0
04/22/19,2898.78,2909.51,2896.35,2907.97,2.9399999999996,0
04/18/19,2904.81,2908.4,2891.9,2905.03,4.5800000000004,0
04/17/19,2916.04,2918,2895.45,2900.45,-6.6100000000001,0
04/16/19,2912.26,2916.06,2900.71,2907.06,1.48,0
04/15/19,2908.32,2909.6,2896.48,2905.58,-1.8299999999999,0
04/12/19,2900.86,2910.54,2898.37,2907.41,19.09,0
04/11/19,2891.92,2893.42,2881.99,2888.32,0.11000000000013,0
04/10/19,2881.37,2889.71,2879.13,2888.21,10.01,0
04/09/19,2886.58,2886.88,2873.33,2878.2,-17.57,0
04/08/19,2888.46,2895.95,2880.78,2895.77,3.0300000000002,0
04/05/19,2884.16,2893.24,2882.99,2892.74,13.35,0
04/04/19,2873.99,2881.28,2867.14,2879.39,5.9899999999998,0
04/03/19,2876.09,2885.25,2865.17,2873.4,6.1600000000003,0
04/02/19,2868.24,2872.9,2858.75,2867.24,0.049999999999727,0
04/01/19,2848.63,2869.4,2848.63,2867.19,32.79,0
03/29/19,2828.27,2836.03,2819.23,2834.4,18.96,0
03/28/19,2809.4,2819.71,2798.77,2815.44,10.07,0
03/27/19,2819.72,2825.56,2787.72,2805.37,-13.09,0
03/26/19,2812.66,2829.87,2803.99,2818.46,20.1,0
03/25/19,2796.01,2809.79,2785.02,2798.36,-2.3499999999999,0
03/22/19,2844.52,2846.16,2800.47,2800.71,-54.17,0
03/21/19,2819.72,2860.31,2817.38,2854.88,30.65,0
03/20/19,2831.34,2843.54,2812.43,2824.23,-8.3400000000001,0
03/19/19,2840.76,2852.42,2823.27,2832.57,-0.36999999999989,0
03/18/19,2822.61,2835.41,2821.99,2832.94,10.46,0
03/15/19,2810.79,2830.73,2810.79,2822.48,14,0
03/14/19,2810.38,2815,2803.46,2808.48,-2.4400000000001,0
03/13/19,2799.78,2821.24,2799.78,2810.92,19.4,0
03/12/19,2787.34,2798.32,2786.73,2791.52,8.2199999999998,0
03/11/19,2747.61,2784,2747.61,2783.3,40.23,0
03/08/19,2730.79,2744.13,2722.27,2743.07,-5.8599999999997,0
03/07/19,2766.53,2767.25,2739.09,2748.93,-22.52,0
03/06/19,2790.27,2790.27,2768.69,2771.45,-18.2,0
03/05/19,2794.41,2796.44,2782.97,2789.65,-3.1599999999999,0
03/04/19,2814.37,2816.88,2767.66,2792.81,-10.88,0
03/01/19,2798.22,2808.02,2787.38,2803.69,19.2,0
02/28/19,2788.11,2793.73,2782.51,2784.49,-7.8900000000003,0
02/27/19,2787.5,2795.76,2775.13,2792.38,-1.52,0
02/26/19,2792.36,2803.12,2789.47,2793.9,-2.21,0
02/25/19,2804.35,2813.49,2794.99,2796.11,3.4400000000001,0
02/22/19,2780.67,2794.2,2779.11,2792.67,17.79,0
02/21/19,2780.24,2781.58,2764.55,2774.88,-9.8199999999997,0
02/20/19,2779.05,2789.88,2774.06,2784.7,4.9399999999996,0
02/19/19,2769.28,2787.33,2767.29,2779.76,4.1600000000003,0
02/15/19,2760.24,2775.66,2760.24,2775.6,29.87,0
02/14/19,2743.5,2757.9,2731.23,2745.73,-7.3000000000002,0
02/13/19,2750.3,2761.85,2748.63,2753.03,8.3000000000002,0
02/12/19,2722.61,2748.19,2722.61,2744.73,34.93,0
02/11/19,2712.4,2718.05,2703.79,2709.8,1.9200000000001,0
02/08/19,2692.36,2708.07,2681.83,2707.88,1.8299999999999,0
02/07/19,2717.53,2719.32,2687.26,2706.05,-25.56,0
02/06/19,2735.05,2738.08,2724.15,2731.61,-6.0899999999997,0
02/05/19,2728.34,2738.98,2724.03,2737.7,12.83,0
02/04/19,2706.49,2724.99,2698.75,2724.87,18.34,0
02/01/19,2702.32,2716.66,2696.88,2706.53,2.4300000000003,0
01/31/19,2685.49,2708.95,2678.65,2704.1,23.05,0
01/30/19,2653.62,2690.44,2648.34,2681.05,41.05,0
01/29/19,2644.89,2650.93,2631.05,2640,-3.8499999999999,0
01/28/19,2644.97,2644.97,2624.06,2643.85,-20.91,0
01/25/19,2657.44,2672.38,2657.33,2664.76,22.43,0
01/24/19,2638.84,2647.2,2627.01,2642.33,3.6300000000001,0
01/23/19,2643.48,2653.19,2612.86,2638.7,5.7999999999997,0
01/22/19,2657.88,2657.88,2617.27,2632.9,-37.81,0
01/18/19,2651.27,2675.47,2647.58,2670.71,34.75,0
01/17/19,2609.28,2645.06,2606.36,2635.96,19.86,0
01/16/19,2614.75,2625.76,2612.68,2616.1,5.7999999999997,0
01/15/19,2585.1,2613.08,2585.1,2610.3,27.69,0
01/14/19,2580.31,2589.32,2570.41,2582.61,-13.65,0
01/11/19,2588.11,2596.27,2577.4,2596.26,-0.37999999999965,0
01/10/19,2573.51,2597.82,2562.02,2596.64,11.68,0
01/09/19,2580,2595.32,2568.89,2584.96,10.55,0
01/08/19,2568.11,2579.82,2547.56,2574.41,24.72,0
01/07/19,2535.61,2566.16,2524.56,2549.69,17.75,0
01/04/19,2474.33,2538.07,2474.33,2531.94,84.05,0
01/03/19,2491.92,2493.14,2443.96,2447.89,-62.14,0
01/02/19,2476.96,2519.49,2467.47,2510.03,3.1800000000003,0
12/31/18,2498.94,2509.24,2482.82,2506.85,21.11,0
12/28/18,2498.77,2520.27,2472.89,2485.74,-3.0900000000001,0
12/27/18,2442.5,2489.1,2397.94,2488.83,21.13,0
12/26/18,2363.12,2467.76,2346.58,2467.7,116.6,0
12/24/18,2400.56,2410.34,2351.1,2351.1,-65.52,0
12/21/18,2465.38,2504.41,2408.55,2416.62,-50.8,0
12/20/18,2496.77,2509.63,2441.18,2467.42,-39.54,0
12/19/18,2547.05,2585.29,2489.5,2506.96,-39.2,0
12/18/18,2559.9,2573.99,2528.71,2546.16,0.2199999999998,0
12/17/18,2590.75,2601.13,2530.54,2545.94,-54.01,0
12/14/18,2629.68,2635.07,2593.84,2599.95,-50.59,0
12/13/18,2658.7,2670.19,2637.27,2650.54,-0.5300000000002,0
12/12/18,2658.23,2685.44,2650.26,2651.07,14.29,0
12/11/18,2664.44,2674.35,2621.3,2636.78,-0.9399999999996,0
12/10/18,2630.86,2647.51,2583.23,2637.72,4.6399999999999,0
12/07/18,2691.26,2708.54,2623.14,2633.08,-62.87,0
12/06/18,2663.51,2696.15,2621.53,2695.95,-4.1100000000001,0
12/04/18,2782.43,2785.93,2697.18,2700.06,-90.31,0
12/03/18,2790.5,2800.18,2773.38,2790.37,30.2,0
11/30/18,2737.76,2760.88,2732.76,2760.17,22.41,0
11/29/18,2736.97,2753.75,2722.94,2737.76,-6.0299999999997,0
11/28/18,2691.45,2744,2684.38,2743.79,61.62,0
11/27/18,2663.75,2682.53,2655.89,2682.17,8.7200000000003,0
11/26/18,2649.97,2674.35,2649.97,2673.45,40.89,0
11/23/18,2633.36,2647.55,2631.09,2632.56,-17.37,0
11/21/18,2657.74,2670.73,2649.82,2649.93,8.04,0
11/20/18,2654.6,2669.44,2631.52,2641.89,-48.84,0
11/19/18,2730.74,2733.16,2681.09,2690.73,-45.54,0
11/16/18,2718.54,2746.75,2712.16,2736.27,6.0700000000002,0
11/15/18,2693.52,2735.38,2670.75,2730.2,28.62,0
11/14/18,2737.9,2746.8,2685.75,2701.58,-20.6,0
11/13/18,2730.05,2754.6,2714.98,2722.18,-4.04,0
11/12/18,2773.93,2775.99,2722,2726.22,-54.79,0
11/09/18,2794.1,2794.1,2764.24,2781.01,-25.82,0
11/08/18,2806.38,2814.75,2794.99,2806.83,-7.0599999999999,0
11/07/18,2774.13,2815.15,2774.13,2813.89,58.44,0
11/06/18,2738.4,2756.82,2737.08,2755.45,17.14,0
